id,display_name,display_name_alternatives,type,season,description
170,大江山,,歌枕,,大江山については福知山市大江町（および与謝郡与謝野町）の大江山と京都市西京区と亀岡市の境の大枝山（老いの坂）、いく野については福知山市生野や亀岡市内などと諸説がある。
171,天橋立,,歌枕,,京都府宮津市。
172,由良川,,歌枕,,京都府宮津市。
173,三熊野浦,,歌枕,,
174,二見浦,ふたみのうら,歌枕,,但馬。三重県伊勢市二見町の浦
175,因幡の山,,歌枕,,
176,手間の関,てまのせき,歌枕,,紀伊の関所
177,岩見潟,いわみがた,歌枕,,石見。島根県の潟
178,鴨山,かもやま,歌枕,,石見。島根県の鴨山
179,高角山,たかつのやま,歌枕,,石見。島根県の高角山
180,和歌浦,,歌枕,,紀伊。
181,佐野渡,,歌枕,,紀伊。
182,玉津島,,歌枕,,紀伊。
183,妹背山,,歌枕,,紀伊。
184,松帆の浦,,歌枕,,明石海峡。
185,熟田津,にきたつ,歌枕,,伊予。道後温泉。
186,箱崎の松,はこざきのまつ,歌枕,,福岡市筥崎八幡宮の松。
187,松浦潟,まつらがた,歌枕,,唐津湾。万葉集初出。
188,領巾振りの嶺,ひれふりのみね,歌枕,,唐津市鏡山。
189,鼓ヶ滝,,歌枕,,肥後。 熊本市西区河内町野出。
190,風流島,,歌枕,,肥後。熊本県宇土市。
191,水島,,歌枕,,肥後。熊本県八代市。
192,野路の玉川,のじのたまがわ,歌枕,,滋賀県草津市野路町。六玉川の一つ
193,野田の玉川,のだのたまがわ,歌枕,,宮城県塩竈市と多賀城市を流れる川。六玉川の一つ
194,調布の玉川,ちょうふのたまがわ,歌枕,,東京都を流れる多摩川。六玉川の一つ
195,井手の玉川,いでのたまがわ,歌枕,,京都府井手町を流れる玉川。六玉川の一つ
196,三島の玉川,みしまのたまがわ,歌枕,,大阪府高槻市。六玉川の一つ
197,高野の玉川,こうやのたまがわ,歌枕,,和歌山県高野山。六玉川の一つ
198,淡路島,,歌枕,,
199,ならの小川,,歌枕,,
200,小倉山,,歌枕,,
201,みかの原,,歌枕,,
202,三笠山,,歌枕,,
203,春日,春日大社,歌枕,,
204,三室山,,歌枕,,
205,住の江,,歌枕,,
206,猪名野,,歌枕,,
207,有馬山,,歌枕,,
208,貴船,"きふね,貴船神社,貴船社,貴船川,貴布禰",歌枕,,蛍岩、貴船社、貴船の川床、思ひ川
10001,アスパラガス,,季語,春,晩春(清明から立夏の前日まで)
10002,アネモネ,,季語,春,晩春(清明から立夏の前日まで)
10003,あらせいとう,,季語,春,晩春(清明から立夏の前日まで)
10004,いかなご,,季語,春,晩春(清明から立夏の前日まで)
10005,イキシア,,季語,春,晩春(清明から立夏の前日まで)
10006,いぬふぐり,,季語,春,
10007,エリカ,,季語,春,晩春(清明から立夏の前日まで)
10008,えり挿す,,季語,春,初春(立春から啓蟄の前日まで)
10009,オキザリス,,季語,春,晩春(清明から立夏の前日まで)
